200c, 38ft, 152.75, 12336, 6
200c, 38ft, 153.1875, 12364, 7
200c, 38ft, 153.203125, 12365, 8
200c, 38ft, 153.21875, 12366, 9
200c, 40ft, 138.703125, 11437, 0
200c, 40ft, 138.703125, 11437, 1
200c, 40ft, 139.125, 11464, 2
200c, 40ft, 137.78125, 11378, 3
200c, 40ft, 139.109375, 11463, 4
200c, 40ft, 138.65625, 11434, 5
200c, 40ft, 140.40625, 11546, 6
200c, 40ft, 140.828125, 11573, 7
200c, 40ft, 139.5, 11488, 8
200c, 40ft, 139.03125, 11458, 9
200c, 42ft, 136.390625, 11289, 0
200c, 42ft, 136.0625, 11268, 1
200c, 42ft, 136.0625, 11268, 2
200c, 42ft, 136.8125, 11316, 3
200c, 42ft, 137.25, 11344, 4
200c, 42ft, 136.375, 11288, 5
200c, 42ft, 136.375, 11288, 6
200c, 42ft, 136.359375, 11287, 7
200c, 42ft, 136.84375, 11318, 8
200c, 42ft, 136.25, 11280, 9
200c, 44ft, 133.65625, 11114, 0
200c, 44ft, 133.65625, 11114, 1
200c, 44ft, 133.21875, 11086, 2
200c, 44ft, 133.671875, 11115, 3
200c, 44ft, 134.46875, 11166, 4
200c, 44ft, 132.296875, 11027, 5
200c, 44ft, 132.328125, 11029, 6
200c, 44ft, 132.78125, 11058, 7
200c, 44ft, 132.78125, 11058, 8
200c, 44ft, 132.3125, 11028, 9
200c, 46ft, 128.34375, 10774, 0
200c, 46ft, 128.59375, 10790, 1
200c, 46ft, 128.59375, 10790, 2
200c, 46ft, 128.328125, 10773, 3
200c, 46ft, 128.765625, 10801, 4
200c, 46ft, 127.875, 10744, 5
200c, 46ft, 128.59375, 10790, 6
200c, 46ft, 128.71875, 10798, 7
200c, 46ft, 129.140625, 10825, 8
200c, 46ft, 129.84375, 10870, 9
200c, 48ft, 123.09375, 10438, 0
200c, 48ft, 124.0, 10496, 1
200c, 48ft, 124.0, 10496, 2
200c, 48ft, 125.03125, 10562, 3
200c, 48ft, 125.34375, 10582, 4
200c, 48ft, 124.4375, 10524, 5
200c, 48ft, 124.125, 10504, 6
200c, 48ft, 124.421875, 10523, 7
200c, 48ft, 123.96875, 10494, 8
200c, 48ft, 122.65625, 10410, 9
200c, 50ft, 114.296875, 9875, 0
200c, 50ft, 114.734375, 9903, 1
200c, 50ft, 114.734375, 9903, 2
200c, 50ft, 114.28125, 9874, 3
200c, 50ft, 114.265625, 9873, 4
200c, 50ft, 113.859375, 9847, 5
200c, 50ft, 114.71875, 9902, 6
200c, 50ft, 114.328125, 9877, 7
200c, 50ft, 114.34375, 9878, 8
200c, 50ft, 114.828125, 9909, 9
200c, 52ft, 120.09375, 10246, 0
200c, 52ft, 120.5625, 10276, 1
200c, 52ft, 120.09375, 10246, 2
200c, 52ft, 120.0625, 10244, 3
200c, 52ft, 120.03125, 10242, 4
200c, 52ft, 120.03125, 10242, 5
200c, 52ft, 120.46875, 10270, 6
200c, 52ft, 120.546875, 10275, 7
200c, 52ft, 120.078125, 10245, 8
200c, 52ft, 120.546875, 10275, 9
200c, 54ft, 103.84375, 9206, 0
200c, 54ft, 104.296875, 9235, 1
200c, 54ft, 103.40625, 9178, 2
200c, 54ft, 103.84375, 9206, 3
200c, 54ft, 104.28125, 9234, 4
200c, 54ft, 104.25, 9232, 5
200c, 54ft, 104.15625, 9226, 6
200c, 54ft, 104.140625, 9225, 7
200c, 54ft, 103.6875, 9196, 8
200c, 54ft, 103.71875, 9198, 9
200c, 56ft, 100.0625, 8964, 0
200c, 56ft, 100.078125, 8965, 1
200c, 56ft, 100.078125, 8965, 2
200c, 56ft, 100.5, 8992, 3
200c, 56ft, 100.109375, 8967, 4
200c, 56ft, 99.671875, 8939, 5
200c, 56ft, 100.578125, 8997, 6
200c, 56ft, 100.15625, 8970, 7
200c, 56ft, 100.609375, 8999, 8
200c, 56ft, 100.625, 9000, 9
200c, 58ft, 74.546875, 7331, 0
200c, 58ft, 74.140625, 7305, 1
200c, 58ft, 74.28125, 7314, 2
200c, 58ft, 73.9375, 7292, 3
200c, 58ft, 74.28125, 7314, 4
200c, 58ft, 74.09375, 7302, 5
200c, 58ft, 74.4375, 7324, 6
200c, 58ft, 74.453125, 7325, 7
200c, 58ft, 74.609375, 7335, 8
200c, 58ft, 73.96875, 7294, 9
200c, 60ft, 89.65625, 8298, 0
200c, 60ft, 88.46875, 8222, 1
200c, 60ft, 84.6875, 7980, 2
200c, 60ft, 78.140625, 7561, 3
200c, 60ft, 79.109375, 7623, 4
200c, 60ft, 78.203125, 7565, 5
200c, 60ft, 77.421875, 7515, 6
200c, 60ft, 75.75, 7408, 7
200c, 60ft, 83.40625, 7898, 8
200c, 60ft, 85.453125, 8029, 9
200c, 62ft, 67.1875, 6860, 0
200c, 62ft, 69.234375, 6991, 1
200c, 62ft, 69.109375, 6983, 2
200c, 62ft, 69.21875, 6990, 3
200c, 62ft, 68.859375, 6967, 4
200c, 62ft, 69.171875, 6987, 5
200c, 62ft, 68.875, 6968, 6
200c, 62ft, 69.359375, 6999, 7
200c, 62ft, 68.953125, 6973, 8
200c, 62ft, 68.40625, 6938, 9
200c, 64ft, 73.09375, 7238, 0
200c, 64ft, 72.6875, 7212, 1
200c, 64ft, 70.140625, 7049, 2
200c, 64ft, 72.40625, 7194, 3
200c, 64ft, 73.484375, 7263, 4
200c, 64ft, 89.203125, 8269, 5
200c, 64ft, 74.078125, 7301, 6
200c, 64ft, 90.046875, 8323, 7
200c, 64ft, 92.109375, 8455, 8
200c, 64ft, 89.59375, 8294, 9
200c, 66ft, 71.515625, 7137, 0
200c, 66ft, 73.21875, 7246, 1
200c, 66ft, 72.578125, 7205, 2
200c, 66ft, 70.890625, 7097, 3
200c, 66ft, 70.546875, 7075, 4
200c, 66ft, 70.421875, 7067, 5
200c, 66ft, 70.46875, 7070, 6
200c, 66ft, 71.828125, 7157, 7
200c, 66ft, 70.84375, 7094, 8
200c, 66ft, 70.390625, 7065, 9
200c, 68ft, 58.359375, 6295, 0
200c, 68ft, 58.125, 6280, 1
200c, 68ft, 58.109375, 6279, 2
200c, 68ft, 58.15625, 6282, 3
200c, 68ft, 58.640625, 6313, 4
200c, 68ft, 58.203125, 6285, 5
200c, 68ft, 58.125, 6280, 6
200c, 68ft, 58.109375, 6279, 7
200c, 68ft, 57.78125, 6258, 8
200c, 68ft, 57.703125, 6253, 9
200c, 70ft, 50.34375, 5782, 0
200c, 70ft, 50.03125, 5762, 1
200c, 70ft, 50.03125, 5762, 2
200c, 70ft, 50.765625, 5809, 3
200c, 70ft, 50.375, 5784, 4
200c, 70ft, 50.15625, 5770, 5
200c, 70ft, 50.125, 5768, 6
200c, 70ft, 50.328125, 5781, 7
200c, 70ft, 50.203125, 5773, 8
200c, 70ft, 50.3125, 5780, 9
200c, 72ft, 50.890625, 5817, 0
200c, 72ft, 50.671875, 5803, 1
200c, 72ft, 50.65625, 5802, 2
200c, 72ft, 50.796875, 5811, 3
200c, 72ft, 50.71875, 5806, 4
200c, 72ft, 50.546875, 5795, 5
200c, 72ft, 51.015625, 5825, 6
200c, 72ft, 51.28125, 5842, 7
200c, 72ft, 50.78125, 5810, 8
200c, 72ft, 50.265625, 5777, 9
200c, 74ft, 47.796875, 5619, 0
200c, 74ft, 47.296875, 5587, 1
200c, 74ft, 47.265625, 5585, 2
200c, 74ft, 48.0, 5632, 3
200c, 74ft, 49.359375, 5719, 4
200c, 74ft, 48.296875, 5651, 5
200c, 74ft, 47.671875, 5611, 6
200c, 74ft, 47.296875, 5587, 7
200c, 74ft, 47.125, 5576, 8
200c, 74ft, 47.65625, 5610, 9
200c, 76ft, 51.46875, 5854, 0
200c, 76ft, 51.640625, 5865, 1
200c, 76ft, 51.53125, 5858, 2
200c, 76ft, 51.578125, 5861, 3
200c, 76ft, 51.734375, 5871, 4
200c, 76ft, 51.1875, 5836, 5
200c, 76ft, 51.53125, 5858, 6
200c, 76ft, 52.640625, 5929, 7
200c, 76ft, 53.4375, 5980, 8
200c, 76ft, 52.609375, 5927, 9
200c, 78ft, 43.125, 5320, 0
200c, 78ft, 43.140625, 5321, 1
200c, 78ft, 43.109375, 5319, 2
200c, 78ft, 43.390625, 5337, 3
200c, 78ft, 43.40625, 5338, 4
200c, 78ft, 43.15625, 5322, 5
200c, 78ft, 43.09375, 5318, 6
200c, 78ft, 42.90625, 5306, 7
200c, 78ft, 42.859375, 5303, 8
200c, 78ft, 42.640625, 5289, 9
200c, 80ft, 40.8125, 5172, 0
200c, 80ft, 40.796875, 5171, 1
200c, 80ft, 40.625, 5160, 2
200c, 80ft, 40.59375, 5158, 3
200c, 80ft, 40.765625, 5169, 4
200c, 80ft, 40.875, 5176, 5
200c, 80ft, 40.953125, 5181, 6
200c, 80ft, 40.609375, 5159, 7
200c, 80ft, 40.515625, 5153, 8
200c, 80ft, 40.546875, 5155, 9
200c, 82ft, 59.046875, 6339, 0
200c, 82ft, 59.015625, 6337, 1
200c, 82ft, 58.859375, 6327, 2
200c, 82ft, 59.71875, 6382, 3
200c, 82ft, 60.453125, 6429, 4
200c, 82ft, 60.1875, 6412, 5
200c, 82ft, 59.796875, 6387, 6
200c, 82ft, 60.65625, 6442, 7
200c, 82ft, 59.65625, 6378, 8
200c, 82ft, 59.71875, 6382, 9
200c, 84ft, 55.921875, 6139, 0
200c, 84ft, 55.65625, 6122, 1
200c, 84ft, 55.015625, 6081, 2
200c, 84ft, 51.34375, 5846, 3
200c, 84ft, 55.09375, 6086, 4
200c, 84ft, 56.984375, 6207, 5
200c, 84ft, 57.0625, 6212, 6
200c, 84ft, 56.703125, 6189, 7
200c, 84ft, 57.28125, 6226, 8
200c, 84ft, 55.765625, 6129, 9
200c, 86ft, 50.84375, 5814, 0
200c, 86ft, 50.875, 5816, 1
200c, 86ft, 50.875, 5816, 2
200c, 86ft, 51.6875, 5868, 3
200c, 86ft, 52.265625, 5905, 4
200c, 86ft, 51.296875, 5843, 5
200c, 86ft, 51.734375, 5871, 6
200c, 86ft, 50.8125, 5812, 7
200c, 86ft, 51.171875, 5835, 8
200c, 86ft, 51.4375, 5852, 9
200c, 88ft, 51.71875, 5870, 0
200c, 88ft, 52.078125, 5893, 1
200c, 88ft, 51.703125, 5869, 2
200c, 88ft, 52.65625, 5930, 3
200c, 88ft, 52.484375, 5919, 4
200c, 88ft, 53.046875, 5955, 5
200c, 88ft, 53.109375, 5959, 6
200c, 88ft, 52.796875, 5939, 7
200c, 88ft, 52.0625, 5892, 8
200c, 88ft, 52.453125, 5917, 9
200c, 90ft, 50.34375, 5782, 0
200c, 90ft, 50.640625, 5801, 1
200c, 90ft, 51.359375, 5847, 2
200c, 90ft, 52.078125, 5893, 3
200c, 90ft, 52.6875, 5932, 4
200c, 90ft, 53.046875, 5955, 5
200c, 90ft, 52.984375, 5951, 6
200c, 90ft, 53.734375, 5999, 7
200c, 90ft, 52.953125, 5949, 8
200c, 90ft, 52.21875, 5902, 9
200c, 92ft, 50.359375, 5783, 0
200c, 92ft, 50.65625, 5802, 1
200c, 92ft, 50.734375, 5807, 2
200c, 92ft, 50.96875, 5822, 3
200c, 92ft, 50.9375, 5820, 4
200c, 92ft, 50.828125, 5813, 5
200c, 92ft, 50.828125, 5813, 6
200c, 92ft, 50.6875, 5804, 7
200c, 92ft, 50.703125, 5805, 8
200c, 92ft, 50.96875, 5822, 9
200c, 94ft, 46.671875, 5547, 0
200c, 94ft, 46.671875, 5547, 1
200c, 94ft, 46.484375, 5535, 2
200c, 94ft, 47.203125, 5581, 3
200c, 94ft, 47.421875, 5595, 4
200c, 94ft, 47.15625, 5578, 5
200c, 94ft, 46.96875, 5566, 6
200c, 94ft, 47.0, 5568, 7
200c, 94ft, 46.71875, 5550, 8
200c, 94ft, 46.671875, 5547, 9
200c, 96ft, 42.921875, 5307, 0
200c, 96ft, 42.859375, 5303, 1
200c, 96ft, 42.96875, 5310, 2
200c, 96ft, 43.53125, 5346, 3
200c, 96ft, 43.546875, 5347, 4
200c, 96ft, 43.546875, 5347, 5
200c, 96ft, 43.4375, 5340, 6
200c, 96ft, 43.34375, 5334, 7
200c, 96ft, 43.296875, 5331, 8
200c, 96ft, 43.375, 5336, 9
200c, 98ft, 46.40625, 5530, 0
200c, 98ft, 46.46875, 5534, 1
200c, 98ft, 46.375, 5528, 2
200c, 98ft, 47.09375, 5574, 3
200c, 98ft, 46.59375, 5542, 4
200c, 98ft, 46.265625, 5521, 5
200c, 98ft, 46.21875, 5518, 6
200c, 98ft, 46.203125, 5517, 7
200c, 98ft, 46.171875, 5515, 8
200c, 98ft, 45.6875, 5484, 9
200c, 100ft, 45.3125, 5460, 0
200c, 100ft, 45.34375, 5462, 1
200c, 100ft, 45.34375, 5462, 2
200c, 100ft, 46.171875, 5515, 3
200c, 100ft, 45.75, 5488, 4
200c, 100ft, 45.78125, 5490, 5
200c, 100ft, 45.890625, 5497, 6
